Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
248,no checking,no credits/all paid,new car,1000<=X<2500,100<=X<500,1<=X<4,male single,30<X<=40,skilled,good
249,>=200,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
250,no checking,existing paid,radio/tv,X<1000,<100,unemployed,female div/dep/mar,X<=23,skilled,bad
251,<0,critical/other existing credit,new car,X<1000,>=1000,4<=X<7,female div/dep/mar,30<X<=40,unskilled resident,good
252,>=200,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
253,0<=X<200,existing paid,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
254,no checking,delayed previously,furniture/equipment,2500<=X<5000,100<=X<500,1<=X<4,male single,30<X<=40,skilled,good
255,0<=X<200,existing paid,furniture/equipment,1000<=X<2500,no known savings,4<=X<7,male single,23<X<=30,skilled,good
256,0<=X<200,delayed previously,radio/tv,5000<=X<10000,no known savings,1<=X<4,male single,23<X<=30,unskilled resident,good
257,no checking,critical/other existing credit,radio/tv,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
258,<0,all paid,radio/tv,1000<=X<2500,<100,1<=X<4,male div/sep,23<X<=30,skilled,bad
259,no checking,existing paid,used car,2500<=X<5000,100<=X<500,<1,female div/dep/mar,X<=23,skilled,good
260,no checking,critical/other existing credit,radio/tv,1000<=X<2500,100<=X<500,unemployed,female div/dep/mar,50<X<=60,unskilled resident,good
261,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
262,<0,existing paid,radio/tv,1000<=X<2500,<100,>=7,female div/dep/mar,50<X<=60,skilled,good
263,<0,critical/other existing credit,new car,5000<=X<10000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
264,no checking,critical/other existing credit,education,2500<=X<5000,<100,>=7,female div/dep/mar,50<X<=60,unskilled resident,good
265,no checking,critical/other existing credit,new car,1000<=X<2500,<100,>=7,male single,30<X<=40,unskilled resident,good
266,0<=X<200,existing paid,radio/tv,X<1000,<100,>=7,male single,30<X<=40,skilled,bad
267,no checking,critical/other existing credit,business,5000<=X<10000,no known savings,>=7,male single,30<X<=40,skilled,good
268,no checking,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,skilled,good
269,<0,existing paid,new car,5000<=X<10000,<100,>=7,male div/sep,40<X<=50,high qualif/self emp/mgmt,bad
270,no checking,existing paid,radio/tv,X<1000,no known savings,>=7,male single,23<X<=30,skilled,good
271,no checking,existing paid,new car,2500<=X<5000,no known savings,4<=X<7,male single,30<X<=40,skilled,good
272,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,500<=X<1000,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
273,0<=X<200,all paid,new car,X>=10000,no known savings,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
274,0<=X<200,existing paid,radio/tv,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,bad
275,<0,existing paid,repairs,X>=10000,<100,<1,male div/sep,30<X<=40,unskilled resident,bad
276,no checking,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
277,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
278,<0,existing paid,furniture/equipment,1000<=X<2500,no known savings,>=7,male div/sep,40<X<=50,unskilled resident,good
279,no checking,existing paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,30<X<=40,skilled,bad
280,no checking,existing paid,radio/tv,1000<=X<2500,100<=X<500,1<=X<4,male single,23<X<=30,high qualif/self emp/mgmt,good
281,no checking,critical/other existing credit,used car,2500<=X<5000,>=1000,>=7,male single,X<=23,skilled,good
282,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,40<X<=50,skilled,good
283,>=200,all paid,radio/tv,1000<=X<2500,no known savings,4<=X<7,male single,40<X<=50,unskilled resident,good
284,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,no known savings,>=7,male single,X>60,skilled,good
285,0<=X<200,critical/other existing credit,new car,2500<=X<5000,100<=X<500,<1,male div/sep,30<X<=40,skilled,good
286,<0,existing paid,new car,X>=10000,<100,<1,female div/dep/mar,30<X<=40,unskilled resident,good
287,<0,existing paid,used car,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,good
288,0<=X<200,delayed previously,other,5000<=X<10000,100<=X<500,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
289,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,40<X<=50,skilled,good
290,<0,delayed previously,radio/tv,1000<=X<2500,<100,<1,male mar/wid,40<X<=50,skilled,bad
291,no checking,existing paid,business,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,skilled,good
292,0<=X<200,existing paid,used car,5000<=X<10000,<100,<1,male mar/wid,23<X<=30,high qualif/self emp/mgmt,bad
293,<0,critical/other existing credit,used car,5000<=X<10000,<100,>=7,female div/dep/mar,40<X<=50,high qualif/self emp/mgmt,good
294,>=200,critical/other existing credit,used car,2500<=X<5000,<100,>=7,male single,50<X<=60,skilled,good
295,no checking,critical/other existing credit,business,5000<=X<10000,no known savings,>=7,male div/sep,40<X<=50,high qualif/self emp/mgmt,good
296,0<=X<200,existing paid,furniture/equipment,5000<=X<10000,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
297,no checking,existing paid,used car,2500<=X<5000,no known savings,<1,female div/dep/mar,X<=23,skilled,good
298,no checking,existing paid,new car,1000<=X<2500,no known savings,>=7,male single,40<X<=50,unskilled resident,good
299,no checking,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,40<X<=50,skilled,good
300,0<=X<200,critical/other existing credit,furniture/equipment,2500<=X<5000,>=1000,4<=X<7,male single,30<X<=40,skilled,good
301,no checking,existing paid,new car,X<1000,<100,unemployed,female div/dep/mar,50<X<=60,unemp/unskilled non res,good
302,0<=X<200,no credits/all paid,radio/tv,2500<=X<5000,<100,1<=X<4,female div/dep/mar,40<X<=50,skilled,bad
303,>=200,critical/other existing credit,new car,1000<=X<2500,no known savings,4<=X<7,male single,30<X<=40,unskilled resident,bad
304,<0,critical/other existing credit,new car,1000<=X<2500,<100,4<=X<7,male single,40<X<=50,skilled,good
305,no checking,critical/other existing credit,new car,X>=10000,500<=X<1000,1<=X<4,male single,40<X<=50,skilled,bad
306,no checking,existing paid,furniture/equipment,1000<=X<2500,>=1000,1<=X<4,male div/sep,30<X<=40,skilled,good
307,no checking,existing paid,used car,2500<=X<5000,no known savings,4<=X<7,female div/dep/mar,23<X<=30,unskilled resident,good
308,<0,existing paid,radio/tv,X<1000,100<=X<500,<1,male mar/wid,30<X<=40,unskilled resident,bad
309,0<=X<200,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
310,0<=X<200,existing paid,new car,X<1000,<100,1<=X<4,male mar/wid,X<=23,unskilled resident,good
311,0<=X<200,existing paid,other,5000<=X<10000,no known savings,unemployed,male single,30<X<=40,unemp/unskilled non res,good
312,no checking,existing paid,furniture/equipment,5000<=X<10000,100<=X<500,1<=X<4,male single,23<X<=30,skilled,good
313,>=200,existing paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,skilled,good
314,0<=X<200,existing paid,new car,X<1000,<100,4<=X<7,male mar/wid,23<X<=30,unskilled resident,bad
315,>=200,existing paid,new car,1000<=X<2500,no known savings,<1,male single,23<X<=30,unskilled resident,good
316,<0,all paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,30<X<=40,skilled,bad
317,<0,existing paid,furniture/equipment,X<1000,<100,1<=X<4,male single,30<X<=40,unskilled resident,good
318,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,no known savings,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
319,no checking,critical/other existing credit,education,X<1000,<100,1<=X<4,male single,30<X<=40,skilled,good
320,<0,delayed previously,furniture/equipment,2500<=X<5000,<100,>=7,female div/dep/mar,23<X<=30,unskilled resident,good
321,0<=X<200,critical/other existing credit,new car,2500<=X<5000,<100,unemployed,male mar/wid,23<X<=30,high qualif/self emp/mgmt,bad
322,<0,existing paid,radio/tv,1000<=X<2500,<100,<1,male div/sep,30<X<=40,skilled,bad
323,<0,existing paid,used car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
324,<0,existing paid,furniture/equipment,2500<=X<5000,>=1000,1<=X<4,male single,23<X<=30,skilled,good
325,no checking,critical/other existing credit,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
326,<0,critical/other existing credit,new car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,unskilled resident,good
327,no checking,critical/other existing credit,furniture/equipment,5000<=X<10000,no known savings,>=7,male single,40<X<=50,skilled,good
328,no checking,existing paid,new car,1000<=X<2500,>=1000,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
329,>=200,existing paid,radio/tv,2500<=X<5000,<100,>=7,male single,30<X<=40,skilled,good
330,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,>=7,male single,23<X<=30,skilled,good
331,<0,critical/other existing credit,used car,5000<=X<10000,<100,unemployed,male single,X>60,high qualif/self emp/mgmt,good
332,no checking,critical/other existing credit,education,1000<=X<2500,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
333,0<=X<200,existing paid,new car,5000<=X<10000,100<=X<500,<1,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,bad
334,no checking,critical/other existing credit,used car,X>=10000,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,unskilled resident,bad
335,<0,no credits/all paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,X<=23,skilled,bad
336,<0,critical/other existing credit,furniture/equipment,2500<=X<5000,<100,1<=X<4,male div/sep,40<X<=50,high qualif/self emp/mgmt,bad
337,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,unskilled resident,good
338,<0,existing paid,domestic appliance,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
339,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
340,0<=X<200,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male div/sep,30<X<=40,unskilled resident,good
341,0<=X<200,critical/other existing credit,education,5000<=X<10000,<100,<1,female div/dep/mar,23<X<=30,skilled,good
342,<0,existing paid,furniture/equipment,2500<=X<5000,<100,4<=X<7,female div/dep/mar,23<X<=30,unskilled resident,good
343,0<=X<200,existing paid,radio/tv,2500<=X<5000,500<=X<1000,<1,male mar/wid,23<X<=30,skilled,good
344,0<=X<200,existing paid,business,2500<=X<5000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
345,>=200,existing paid,new car,2500<=X<5000,<100,<1,male single,30<X<=40,unskilled resident,good
346,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
347,0<=X<200,critical/other existing credit,radio/tv,X<1000,<100,<1,male single,X<=23,skilled,good
348,0<=X<200,existing paid,radio/tv,2500<=X<5000,500<=X<1000,unemployed,female div/dep/mar,X<=23,unemp/unskilled non res,good
349,no checking,delayed previously,business,1000<=X<2500,100<=X<500,1<=X<4,male single,30<X<=40,unskilled resident,good
350,0<=X<200,critical/other existing credit,education,1000<=X<2500,>=1000,>=7,male single,30<X<=40,skilled,bad
351,no checking,existing paid,domestic appliance,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,good
352,0<=X<200,existing paid,furniture/equipment,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,bad
353,no checking,critical/other existing credit,used car,2500<=X<5000,no known savings,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
354,<0,no credits/all paid,radio/tv,5000<=X<10000,<100,1<=X<4,male single,23<X<=30,skilled,bad
355,no checking,existing paid,education,X<1000,500<=X<1000,>=7,male single,40<X<=50,skilled,good
356,0<=X<200,existing paid,new car,1000<=X<2500,<100,<1,male single,X<=23,unskilled resident,bad
357,no checking,critical/other existing credit,radio/tv,1000<=X<2500,no known savings,>=7,male single,40<X<=50,skilled,good
358,no checking,delayed previously,radio/tv,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,high qualif/self emp/mgmt,bad
359,no checking,existing paid,radio/tv,X<1000,<100,1<=X<4,male mar/wid,23<X<=30,skilled,good
360,<0,existing paid,furniture/equipment,1000<=X<2500,<100,4<=X<7,female div/dep/mar,X<=23,skilled,bad
361,0<=X<200,existing paid,education,1000<=X<2500,no known savings,1<=X<4,male single,X>60,skilled,good
362,>=200,existing paid,radio/tv,2500<=X<5000,no known savings,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
363,>=200,delayed previously,new car,1000<=X<2500,<100,1<=X<4,female div/dep/mar,30<X<=40,skilled,good
364,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male mar/wid,X<=23,skilled,good
365,<0,existing paid,furniture/equipment,1000<=X<2500,<100,unemployed,male single,23<X<=30,unemp/unskilled non res,bad
366,no checking,existing paid,business,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
367,no checking,critical/other existing credit,used car,2500<=X<5000,<100,4<=X<7,male single,23<X<=30,skilled,good
368,<0,existing paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,X<=23,skilled,good
369,<0,existing paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,40<X<=50,skilled,bad
370,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,<100,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
371,no checking,existing paid,new car,2500<=X<5000,no known savings,1<=X<4,male single,30<X<=40,skilled,good
372,no checking,critical/other existing credit,radio/tv,5000<=X<10000,<100,>=7,male single,30<X<=40,skilled,good
373,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,<1,female div/dep/mar,X<=23,skilled,good
374,no checking,critical/other existing credit,new car,X>=10000,no known savings,>=7,male single,X>60,high qualif/self emp/mgmt,good
375,0<=X<200,all paid,other,X>=10000,100<=X<500,>=7,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,bad
376,<0,all paid,business,5000<=X<10000,<100,4<=X<7,female div/dep/mar,30<X<=40,skilled,bad
377,no checking,delayed previously,radio/tv,1000<=X<2500,<100,unemployed,male mar/wid,30<X<=40,skilled,good
378,no checking,delayed previously,radio/tv,X<1000,no known savings,>=7,male single,30<X<=40,skilled,good
379,0<=X<200,existing paid,new car,X>=10000,<100,>=7,male single,50<X<=60,high qualif/self emp/mgmt,bad
380,no checking,critical/other existing credit,new car,X<1000,100<=X<500,1<=X<4,female div/dep/mar,50<X<=60,unskilled resident,good
381,<0,existing paid,furniture/equipment,1000<=X<2500,no known savings,4<=X<7,male single,30<X<=40,skilled,good
382,0<=X<200,existing paid,used car,X>=10000,<100,unemployed,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,bad
383,no checking,existing paid,new car,1000<=X<2500,no known savings,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
384,>=200,existing paid,new car,1000<=X<2500,<100,<1,male single,23<X<=30,skilled,good
385,no checking,delayed previously,business,2500<=X<5000,100<=X<500,1<=X<4,male single,23<X<=30,unskilled resident,good
386,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
387,no checking,existing paid,radio/tv,1000<=X<2500,no known savings,<1,female div/dep/mar,X<=23,skilled,good
388,0<=X<200,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
389,0<=X<200,critical/other existing credit,business,1000<=X<2500,500<=X<1000,1<=X<4,male single,23<X<=30,skilled,good
390,no checking,existing paid,business,1000<=X<2500,<100,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
391,no checking,existing paid,new car,1000<=X<2500,<100,1<=X<4,male mar/wid,23<X<=30,high qualif/self emp/mgmt,good
392,0<=X<200,existing paid,furniture/equipment,X<1000,>=1000,<1,female div/dep/mar,X<=23,unskilled resident,good
393,<0,existing paid,new car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
394,<0,critical/other existing credit,radio/tv,1000<=X<2500,<100,4<=X<7,female div/dep/mar,30<X<=40,skilled,good
395,no checking,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
396,0<=X<200,delayed previously,education,X>=10000,100<=X<500,4<=X<7,male single,30<X<=40,skilled,good
397,<0,existing paid,furniture/equipment,2500<=X<5000,<100,unemployed,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,good
398,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,1<=X<4,male mar/wid,40<X<=50,skilled,good
399,0<=X<200,existing paid,new car,1000<=X<2500,<100,>=7,male div/sep,40<X<=50,skilled,bad
400,no checking,critical/other existing credit,radio/tv,1000<=X<2500,>=1000,1<=X<4,female div/dep/mar,40<X<=50,unskilled resident,good
401,no checking,existing paid,radio/tv,1000<=X<2500,<100,<1,male mar/wid,30<X<=40,skilled,good
402,0<=X<200,critical/other existing credit,business,1000<=X<2500,no known savings,1<=X<4,male mar/wid,23<X<=30,skilled,good
403,no checking,delayed previously,business,5000<=X<10000,<100,<1,male single,23<X<=30,skilled,bad
404,no checking,delayed previously,new car,X<1000,<100,1<=X<4,male single,23<X<=30,unskilled resident,good
405,0<=X<200,delayed previously,new car,2500<=X<5000,no known savings,>=7,male single,40<X<=50,skilled,good
406,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,<1,male mar/wid,X<=23,skilled,bad
407,no checking,critical/other existing credit,used car,1000<=X<2500,no known savings,4<=X<7,male single,40<X<=50,skilled,good
408,<0,existing paid,radio/tv,1000<=X<2500,<100,<1,male mar/wid,23<X<=30,skilled,good
409,no checking,existing paid,radio/tv,2500<=X<5000,500<=X<1000,>=7,male div/sep,23<X<=30,high qualif/self emp/mgmt,good
410,>=200,critical/other existing credit,new car,X<1000,500<=X<1000,4<=X<7,male mar/wid,23<X<=30,skilled,bad
411,0<=X<200,existing paid,radio/tv,1000<=X<2500,<100,>=7,female div/dep/mar,X<=23,skilled,good
412,no checking,critical/other existing credit,used car,5000<=X<10000,<100,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
413,no checking,critical/other existing credit,business,1000<=X<2500,<100,unemployed,male single,40<X<=50,high qualif/self emp/mgmt,bad
414,no checking,existing paid,new car,1000<=X<2500,500<=X<1000,1<=X<4,male single,30<X<=40,unskilled resident,good
415,<0,existing paid,new car,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,30<X<=40,skilled,bad
416,no checking,critical/other existing credit,used car,5000<=X<10000,<100,>=7,male single,30<X<=40,skilled,good
417,<0,existing paid,new car,2500<=X<5000,<100,<1,male single,30<X<=40,unskilled resident,bad
418,<0,delayed previously,education,5000<=X<10000,no known savings,1<=X<4,female div/dep/mar,X<=23,skilled,good
419,no checking,existing paid,new car,2500<=X<5000,500<=X<1000,4<=X<7,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,good
420,0<=X<200,existing paid,new car,1000<=X<2500,no known savings,1<=X<4,female div/dep/mar,30<X<=40,skilled,bad
421,no checking,existing paid,new car,2500<=X<5000,>=1000,4<=X<7,female div/dep/mar,X<=23,skilled,good
422,0<=X<200,existing paid,used car,1000<=X<2500,no known savings,1<=X<4,male single,23<X<=30,skilled,good
423,0<=X<200,critical/other existing credit,new car,X<1000,<100,4<=X<7,male single,40<X<=50,unskilled resident,good
424,no checking,delayed previously,furniture/equipment,1000<=X<2500,100<=X<500,4<=X<7,male single,30<X<=40,high qualif/self emp/mgmt,good
425,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,no known savings,>=7,female div/dep/mar,23<X<=30,skilled,bad
426,0<=X<200,existing paid,used car,2500<=X<5000,<100,1<=X<4,male mar/wid,X<=23,skilled,good
427,no checking,critical/other existing credit,radio/tv,2500<=X<5000,<100,>=7,male single,23<X<=30,skilled,good
428,no checking,critical/other existing credit,radio/tv,1000<=X<2500,>=1000,1<=X<4,male single,40<X<=50,skilled,good
429,no checking,existing paid,furniture/equipment,1000<=X<2500,<100,>=7,male single,X<=23,skilled,good
430,<0,critical/other existing credit,repairs,1000<=X<2500,<100,unemployed,female div/dep/mar,50<X<=60,unemp/unskilled non res,bad
431,no checking,existing paid,business,2500<=X<5000,<100,4<=X<7,male single,X>60,unskilled resident,good
432,0<=X<200,existing paid,other,X>=10000,<100,1<=X<4,male single,23<X<=30,high qualif/self emp/mgmt,bad
433,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
434,no checking,critical/other existing credit,repairs,1000<=X<2500,<100,1<=X<4,male div/sep,30<X<=40,skilled,good
435,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,male single,23<X<=30,skilled,good
436,0<=X<200,existing paid,radio/tv,1000<=X<2500,no known savings,1<=X<4,male mar/wid,23<X<=30,skilled,bad
437,no checking,existing paid,repairs,X<1000,500<=X<1000,4<=X<7,male mar/wid,X<=23,unskilled resident,good
438,no checking,critical/other existing credit,new car,1000<=X<2500,>=1000,>=7,female div/dep/mar,30<X<=40,skilled,good
439,<0,critical/other existing credit,repairs,2500<=X<5000,<100,unemployed,male single,X>60,unemp/unskilled non res,good
440,>=200,all paid,business,X<1000,<100,<1,female div/dep/mar,23<X<=30,unemp/unskilled non res,bad
441,no checking,existing paid,new car,1000<=X<2500,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
442,<0,existing paid,furniture/equipment,1000<=X<2500,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
443,0<=X<200,delayed previously,other,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
444,no checking,existing paid,education,5000<=X<10000,<100,>=7,male single,40<X<=50,unskilled resident,bad
445,0<=X<200,critical/other existing credit,furniture/equipment,5000<=X<10000,<100,1<=X<4,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,bad
446,no checking,critical/other existing credit,education,1000<=X<2500,no known savings,>=7,female div/dep/mar,40<X<=50,unskilled resident,good
447,<0,existing paid,new car,1000<=X<2500,<100,<1,female div/dep/mar,30<X<=40,skilled,bad
448,0<=X<200,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
449,>=200,existing paid,furniture/equipment,1000<=X<2500,no known savings,>=7,female div/dep/mar,50<X<=60,high qualif/self emp/mgmt,good
450,0<=X<200,delayed previously,repairs,1000<=X<2500,>=1000,1<=X<4,male mar/wid,X>60,skilled,bad
451,no checking,critical/other existing credit,used car,X>=10000,no known savings,1<=X<4,male single,23<X<=30,high qualif/self emp/mgmt,good
452,no checking,existing paid,radio/tv,X<1000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
453,no checking,no credits/all paid,furniture/equipment,2500<=X<5000,<100,>=7,male single,30<X<=40,skilled,good
454,no checking,existing paid,used car,2500<=X<5000,<100,>=7,male single,30<X<=40,high qualif/self emp/mgmt,good
455,<0,existing paid,new car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,skilled,bad
456,no checking,existing paid,used car,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,high qualif/self emp/mgmt,good
457,<0,critical/other existing credit,new car,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
458,<0,existing paid,used car,2500<=X<5000,<100,>=7,male single,30<X<=40,skilled,bad
459,<0,existing paid,domestic appliance,X<1000,<100,<1,female div/dep/mar,23<X<=30,skilled,good
460,no checking,existing paid,radio/tv,2500<=X<5000,<100,<1,male single,30<X<=40,skilled,good
461,<0,existing paid,furniture/equipment,2500<=X<5000,<100,1<=X<4,male single,30<X<=40,skilled,good
462,<0,existing paid,new car,1000<=X<2500,<100,<1,male single,30<X<=40,skilled,good
463,0<=X<200,existing paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,30<X<=40,high qualif/self emp/mgmt,good
464,0<=X<200,existing paid,retraining,X<1000,no known savings,>=7,male single,30<X<=40,skilled,good
465,no checking,existing paid,business,1000<=X<2500,<100,4<=X<7,male single,30<X<=40,skilled,good
466,<0,existing paid,used car,2500<=X<5000,<100,1<=X<4,male single,X>60,skilled,good
467,<0,delayed previously,radio/tv,1000<=X<2500,<100,<1,female div/dep/mar,23<X<=30,unskilled resident,bad
468,no checking,delayed previously,radio/tv,5000<=X<10000,no known savings,>=7,male single,30<X<=40,skilled,good
469,no checking,delayed previously,business,2500<=X<5000,<100,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
470,no checking,delayed previously,used car,2500<=X<5000,<100,4<=X<7,male single,30<X<=40,unskilled resident,good
471,0<=X<200,existing paid,radio/tv,2500<=X<5000,100<=X<500,<1,male mar/wid,X<=23,skilled,bad
472,<0,existing paid,education,X<1000,<100,<1,female div/dep/mar,X<=23,skilled,bad
473,<0,existing paid,new car,X<1000,<100,1<=X<4,male single,23<X<=30,unskilled resident,bad
474,no checking,existing paid,retraining,1000<=X<2500,no known savings,unemployed,male single,30<X<=40,high qualif/self emp/mgmt,good
475,0<=X<200,critical/other existing credit,radio/tv,1000<=X<2500,<100,1<=X<4,male mar/wid,30<X<=40,skilled,bad
476,<0,no credits/all paid,furniture/equipment,2500<=X<5000,<100,<1,female div/dep/mar,23<X<=30,skilled,bad
477,no checking,existing paid,used car,2500<=X<5000,500<=X<1000,1<=X<4,male single,23<X<=30,skilled,good
478,>=200,existing paid,radio/tv,5000<=X<10000,<100,4<=X<7,male single,23<X<=30,skilled,good
479,0<=X<200,existing paid,business,1000<=X<2500,100<=X<500,4<=X<7,male single,30<X<=40,unskilled resident,good
480,<0,critical/other existing credit,furniture/equipment,1000<=X<2500,<100,>=7,male single,40<X<=50,skilled,good
481,0<=X<200,critical/other existing credit,radio/tv,2500<=X<5000,<100,1<=X<4,female div/dep/mar,X<=23,unskilled resident,good
482,0<=X<200,existing paid,new car,1000<=X<2500,<100,<1,male single,23<X<=30,skilled,good
483,<0,existing paid,furniture/equipment,2500<=X<5000,>=1000,>=7,female div/dep/mar,50<X<=60,skilled,good
484,no checking,delayed previously,furniture/equipment,X<1000,>=1000,4<=X<7,female div/dep/mar,23<X<=30,skilled,good
485,no checking,critical/other existing credit,new car,1000<=X<2500,500<=X<1000,1<=X<4,male single,40<X<=50,skilled,good
486,0<=X<200,delayed previously,new car,1000<=X<2500,<100,unemployed,male single,40<X<=50,high qualif/self emp/mgmt,bad
487,no checking,existing paid,radio/tv,2500<=X<5000,<100,1<=X<4,male single,50<X<=60,skilled,good
488,no checking,existing paid,new car,2500<=X<5000,<100,>=7,female div/dep/mar,X>60,skilled,good
489,no checking,existing paid,new car,1000<=X<2500,100<=X<500,1<=X<4,male single,30<X<=40,unskilled resident,good
490,no checking,existing paid,new car,2500<=X<5000,<100,1<=X<4,male single,23<X<=30,skilled,good
491,no checking,critical/other existing credit,radio/tv,1000<=X<2500,<100,>=7,male single,23<X<=30,skilled,good
492,0<=X<200,no credits/all paid,business,5000<=X<10000,<100,>=7,female div/dep/mar,40<X<=50,high qualif/self emp/mgmt,bad
493,no checking,critical/other existing credit,radio/tv,1000<=X<2500,100<=X<500,1<=X<4,female div/dep/mar,23<X<=30,skilled,good
